City,Cloudiness(%),Country,Date,Humidity(%),Lat,Lng,Max Temp (F),Wind Speed (mph)
Vaitape,18,PF,1604294745,78,-16.52,-151.75,81.27,19.73
Carutapera,39,BR,1604294745,85,-1.2,-46.02,76.5,4.21
Cosalá,42,MX,1604294746,73,24.41,-106.69,71.01,6.26
Cordele,1,US,1604294746,71,31.96,-83.78,55.99,4.7
Carnarvon,0,AU,1604294746,47,-24.87,113.63,75.2,16.11
Walla Walla,1,US,1604294746,80,46.06,-118.34,48.0,8.05
Mount Gambier,68,AU,1604294746,28,-37.83,140.77,82.4,11.41
Bluff,27,NZ,1604294525,65,-46.6,168.33,55.0,8.99
Ponta do Sol,20,PT,1604294527,55,32.67,-17.1,66.99,3.36
Penzance,75,GB,1604294747,87,50.12,-5.54,55.4,26.4
Pevek,100,RU,1604294747,97,69.7,170.31,14.94,7.67
Salsomaggiore Terme,91,IT,1604294747,98,44.81,9.98,51.01,2.46
Port Hedland,11,AU,1604294747,45,-20.32,118.57,87.8,20.8
Iqaluit,90,CA,1604294747,72,63.75,-68.51,15.8,8.05
Christchurch,100,NZ,1604294539,54,-43.53,172.63,57.2,12.75
Khatanga,99,RU,1604294747,93,71.97,102.5,7.18,8.1
Pokhara,0,NP,1604294748,38,28.23,83.98,81.52,5.28
Hermanus,97,ZA,1604294748,77,-34.42,19.23,66.99,5.01
Levice,100,SK,1604294748,98,48.22,18.61,54.0,3.0
Mar del Plata,0,AR,1604294748,100,-38.0,-57.56,57.99,2.24
Bredasdorp,99,ZA,1604294444,77,-34.53,20.04,66.2,11.41
Sioux Lookout,90,CA,1604294748,63,50.1,-91.92,28.4,13.87
Maceió,0,BR,1604294621,88,-9.67,-35.74,75.2,5.82
Lata,83,PT,1604294749,93,40.16,-8.33,64.0,1.25
Evans,1,US,1604294749,30,33.53,-82.13,57.2,12.75
Pushkar,0,IN,1604294749,14,26.5,74.55,81.79,0.89
Manicoré,0,BR,1604294749,94,-5.81,-61.3,75.2,2.24
Darnah,38,LY,1604294749,65,32.77,22.64,68.81,12.59
Nanortalik,0,GL,1604294557,90,60.14,-45.24,32.16,35.52
Hobart,0,AU,1604294313,49,-42.88,147.33,81.0,8.05
Busselton,97,AU,1604294750,65,-33.65,115.33,64.0,3.96
Curup,96,ID,1604294750,67,-3.47,102.53,79.99,4.25
Marfino,90,RU,1604294750,100,55.7,37.38,41.0,8.95
Mahébourg,75,MU,1604294750,57,-20.41,57.7,75.2,10.29
New Norfolk,92,AU,1604294750,30,-42.78,147.06,81.0,3.24
Avarua,93,CK,1604294750,94,-21.21,-159.78,75.2,12.75
Saint George,1,US,1604294327,17,37.1,-113.58,57.2,3.71
Port Elizabeth,40,ZA,1604294751,88,-33.92,25.57,64.4,9.17
Sørland,75,NO,1604294751,81,67.67,12.69,50.0,9.17
Kununurra,48,AU,1604294751,24,-15.77,128.73,102.2,6.93
Puerto Ayacucho,100,VE,1604294751,95,5.66,-67.62,73.27,1.23
Kodinsk,100,RU,1604294752,93,58.69,99.18,33.58,10.56
Cap Malheureux,75,MU,1604294752,57,-19.98,57.61,75.2,10.29
Acajutla,86,SV,1604294752,72,13.59,-89.83,79.21,7.54
Paamiut,47,GL,1604294752,92,61.99,-49.67,26.37,4.83
Ridgecrest,12,US,1604294752,12,35.62,-117.67,64.99,3.4
Berlevåg,0,NO,1604294753,80,70.86,29.09,41.0,39.15
Padang,79,ID,1604294753,68,-0.95,100.35,84.7,7.02
Ampanihy,0,MG,1604294753,58,-24.7,44.75,75.15,11.79
Torbay,40,CA,1604294542,74,47.67,-52.73,39.99,14.99
Mount Isa,0,AU,1604294753,8,-20.73,139.5,98.6,11.41
Hong Kong,20,HK,1604294656,42,22.29,114.16,86.0,11.41
Castro,62,BR,1604294584,86,-24.79,-50.01,50.49,9.78
Alyangula,80,AU,1604294754,17,-13.85,136.42,102.2,6.93
Vaini,40,TO,1604294441,83,-21.2,-175.2,78.8,10.29
São Filipe,54,CV,1604294754,77,14.9,-24.5,78.08,3.2
Puerto Ayora,100,EC,1604294754,92,-0.74,-90.35,70.0,5.99
Vila Franca do Campo,20,PT,1604294755,82,37.72,-25.43,62.6,16.11
Río Gallegos,0,AR,1604294502,81,-51.62,-69.22,46.4,8.05
Upala,100,CR,1604294755,94,10.9,-85.01,72.91,1.14
Saint Paul Harbor,90,US,1604294755,39,57.79,-152.41,28.4,10.29
Boa Vista,75,BR,1604294546,83,2.82,-60.67,75.2,4.7
Nikolskoye,90,RU,1604294755,100,59.7,30.79,33.8,8.95
Sinnamary,97,GF,1604294756,83,5.38,-52.95,79.68,7.43
Ribeira Grande,21,PT,1604294546,70,38.52,-28.7,62.64,18.32
Íos,0,GR,1604294756,55,36.73,25.28,64.4,10.29
Chokurdakh,100,RU,1604294756,93,70.63,147.92,-1.17,13.0
Saint-Philippe,40,RE,1604294705,50,-21.36,55.77,75.2,3.36
Qaanaaq,0,GL,1604294756,74,77.48,-69.36,3.25,5.57
El Rincón,76,HN,1604294756,100,14.58,-87.93,60.13,4.05
Batasan,85,PH,1604294587,75,12.77,120.78,82.98,7.56
Zhezkazgan,83,KZ,1604294757,41,47.8,67.71,48.47,5.97
Roebourne,19,AU,1604294757,35,-20.78,117.13,86.11,19.33
Vila,98,PT,1604294757,95,42.03,-8.16,59.0,6.2
San Patricio,1,US,1604294758,68,28.02,-97.52,64.4,10.29
Chui,18,UY,1604294758,87,-33.7,-53.46,51.08,3.24
Bethel,40,US,1604294532,56,41.37,-73.41,41.0,14.99
Cape Town,0,ZA,1604294758,68,-33.93,18.42,64.99,8.05
Atar,100,MR,1604294758,21,20.52,-13.05,77.7,9.19
Butaritari,40,KI,1604294759,80,3.07,172.79,82.13,10.4
Bengkulu,100,ID,1604294759,64,-3.8,102.27,85.15,4.94
Atuona,59,PF,1604294707,78,-9.8,-139.03,77.67,15.05
Hilo,1,US,1604294445,69,19.73,-155.09,80.6,3.36
Camalú,0,MX,1604294759,59,30.85,-116.07,65.16,3.18
Dubbo,27,AU,1604294759,29,-32.25,148.62,78.8,8.05
Orange Cove,75,US,1604294759,58,36.62,-119.31,59.0,3.53
Areosa,90,PT,1604294760,93,41.72,-8.86,66.0,11.41
Omsukchan,100,RU,1604294760,94,62.53,155.8,16.16,6.4
Inhambane,40,MZ,1604294760,69,-23.86,35.38,77.0,9.17
Nome,1,US,1604294760,92,64.5,-165.41,10.4,4.61
Corinth,34,GR,1604294760,65,37.94,22.96,57.99,1.86
Najrān,0,SA,1604294761,24,17.49,44.13,68.0,3.51
Hithadhoo,100,MV,1604294761,82,-0.6,73.08,80.11,12.66
Honningsvåg,75,NO,1604294761,81,70.98,25.97,44.6,25.28
Havre-St-Pierre,90,CA,1604294761,93,50.23,-63.6,42.8,14.99
Ayan,100,RU,1604294761,98,56.45,138.17,26.08,20.83
Constitución,9,CL,1604294762,90,-35.33,-72.42,51.46,8.93
Conde,75,BR,1604294696,83,-7.26,-34.91,77.0,4.7
Mokhotlong,15,LS,1604294762,76,-29.29,29.07,45.3,1.88
Saint-Augustin,100,CA,1604294762,86,51.23,-58.65,39.81,14.43
Unnāo,0,IN,1604294762,47,26.53,80.5,77.0,5.82
Lunenburg,100,CA,1604294762,100,44.38,-64.32,55.99,33.33
Zvishavane,97,ZW,1604294763,79,-20.33,30.07,63.79,6.55
Kirkwall,83,GB,1604294763,81,58.98,-2.96,48.2,18.34
Dikson,92,RU,1604294763,97,73.51,80.55,16.72,8.57
Payo,96,ID,1604294763,50,-3.75,103.64,91.74,1.9
Guerrero Negro,0,MX,1604294763,76,27.98,-114.06,68.94,10.38
Cobija,65,BO,1604294764,61,-11.03,-68.77,71.8,1.88
Lompoc,1,US,1604294696,77,34.64,-120.46,62.6,4.47
Maniitsoq,80,GL,1604294764,94,65.42,-52.9,22.82,9.42
Grand Gaube,75,MU,1604294764,57,-20.01,57.66,75.2,10.29
Beringovskiy,81,RU,1604294764,93,63.05,179.32,23.92,4.47
Richards Bay,100,ZA,1604294764,93,-28.78,32.04,64.62,4.16
Naryan-Mar,94,RU,1604294764,96,67.67,53.09,32.72,9.62
Narsaq,0,GL,1604294765,61,60.92,-46.05,17.6,5.82
Cuitzeo (La Estancia),5,MX,1604294765,32,20.33,-102.78,66.2,3.36
Orbetello,40,IT,1604294765,87,42.44,11.22,59.0,3.36
Teya,100,RU,1604294765,90,60.38,92.63,34.34,11.65
Airai,97,TL,1604294765,50,-8.93,125.41,78.93,3.6
Tsiroanomandidy,34,MG,1604294765,50,-18.77,46.03,78.8,3.18
Tessalit,68,ML,1604294766,27,20.2,1.01,70.59,17.25
Arroio dos Ratos,0,BR,1604294766,87,-30.08,-51.73,61.0,4.7
Goderich,100,CA,1604294766,86,43.75,-81.72,33.8,29.97
Lagoa Vermelha,5,BR,1604294766,98,-28.21,-51.53,47.98,4.94
Lavrentiya,19,RU,1604294766,89,65.58,-171.0,21.15,7.94
Jequié,94,BR,1604294766,91,-13.86,-40.08,73.04,1.97
Novoagansk,86,RU,1604294766,97,61.94,76.66,24.28,12.19
Kourou,99,GF,1604294767,100,5.16,-52.65,75.2,3.36
Arraial do Cabo,1,BR,1604294722,71,-22.97,-42.03,67.77,14.85
Kaeo,99,NZ,1604294767,83,-35.1,173.78,70.0,8.99
Olinda,40,BR,1604294767,74,-8.01,-34.86,80.6,5.82
Tura,85,IN,1604294767,70,25.52,90.22,81.64,2.35
Havelock,1,US,1604294692,82,34.88,-76.9,57.2,13.87
Zhigansk,100,RU,1604294767,92,66.77,123.37,2.7,22.15
Port Macquarie,61,AU,1604294611,52,-31.43,152.92,73.99,3.0
Kushmurun,1,KZ,1604294768,90,52.45,64.63,33.73,7.49
Walvis Bay,90,NA,1604294768,87,-22.96,14.51,54.0,8.05
Hammerfest,75,NO,1604294523,81,70.66,23.68,42.8,51.67
Huarmey,37,PE,1604294769,87,-10.07,-78.15,60.69,6.91
Victor Harbor,14,AU,1604294769,44,-35.57,138.62,80.01,1.01
Pisco,90,PE,1604294769,82,-13.7,-76.22,64.99,9.17
Kysyl-Syr,43,RU,1604294769,90,63.9,122.76,6.1,8.46
George Town,40,MY,1604294755,74,5.41,100.34,86.0,8.05
Sumbe,87,AO,1604294769,88,-11.21,13.84,76.35,3.31
Zhangaözen,0,KZ,1604294769,26,43.3,52.8,61.23,15.19
San-Pédro,58,CI,1604294770,92,4.75,-6.64,76.28,5.08
Nantucket,100,US,1604294770,86,41.28,-70.1,56.14,32.79
Pangnirtung,44,CA,1604294770,83,66.15,-65.71,7.3,5.88
Laguna,1,US,1604294770,66,38.42,-121.42,57.2,1.77
Aklavik,81,CA,1604294485,77,68.22,-135.01,5.0,1.12
Port Keats,69,AU,1604294771,44,-14.25,129.55,93.04,9.84
Klaksvík,45,FO,1604294771,81,62.23,-6.59,44.6,6.93
Bollnäs,100,SE,1604294771,85,61.35,16.39,52.38,15.21
Katsuura,75,JP,1604294771,68,35.13,140.3,69.01,11.41
Nisibis,75,TR,1604294771,12,37.08,41.22,73.4,23.04
Ode,77,NG,1604294771,97,7.79,5.71,69.08,2.62
Nchelenge,46,ZM,1604294772,66,-9.35,28.73,73.53,4.38
Whitianga,100,NZ,1604294541,77,-36.83,175.7,71.01,4.0
East London,20,ZA,1604294547,88,-33.02,27.91,64.4,11.41
Krasnyy Chikoy,0,RU,1604294772,79,50.36,108.75,23.41,4.05
Province of Mantua,80,IT,1604294772,97,45.17,10.78,53.01,1.01
Ilulissat,100,GL,1604294772,73,69.22,-51.1,19.4,1.12
Pizhanka,0,RU,1604294772,96,57.46,48.54,28.74,4.32
Buraidah,0,SA,1604294504,42,26.33,43.98,66.2,8.05
Akdepe,0,TM,1604294773,30,42.06,59.38,57.2,9.17
Wilson,20,US,1604294773,41,36.15,-86.28,41.0,9.17
Portland,1,US,1604294753,62,45.52,-122.68,53.01,8.05
Eureka,1,US,1604294563,93,40.8,-124.16,50.0,3.36
Champerico,46,GT,1604294773,93,14.3,-91.92,69.01,3.4
Kabinda,98,CD,1604294774,88,-6.13,24.48,68.49,2.8
Yellowknife,90,CA,1604294548,84,62.46,-114.35,6.8,4.7
Yabassi,40,CM,1604294774,100,4.46,9.97,73.4,3.36
Huilong,58,CN,1604294774,63,31.81,121.66,70.0,12.44
Clyde River,90,CA,1604294775,84,70.47,-68.59,8.6,16.11
Rawson,93,AR,1604294775,22,-43.3,-65.1,75.34,21.92
Magdagachi,99,RU,1604294775,90,53.45,125.8,18.36,10.02
Kendal,100,GB,1604294775,98,54.33,-2.75,48.99,1.01
Nosy Varika,82,MG,1604294775,62,-20.58,48.53,73.13,1.66
Urambo,37,TZ,1604294775,54,-5.07,32.05,73.67,9.26
Broken Hill,28,AU,1604294775,17,-31.95,141.43,86.0,5.82
Kavieng,8,PG,1604294776,65,-2.57,150.8,86.02,2.71
Salalah,0,OM,1604294521,54,17.02,54.09,80.6,4.7
Longyearbyen,0,SJ,1604294508,69,78.22,15.64,35.6,25.28
Balikpapan,20,ID,1604294511,66,-1.27,116.83,86.0,6.93
Quesnel,90,CA,1604294762,61,53.0,-122.5,46.4,8.05
Port-Gentil,99,GA,1604294776,88,-0.72,8.78,77.81,11.68
Tucumã,43,BR,1604294776,84,-0.18,-50.05,78.12,6.17
Kudahuvadhoo,26,MV,1604294777,71,2.67,72.89,83.05,8.16
Cedartown,1,US,1604294777,33,34.05,-85.25,48.2,19.46
Husavik,20,IS,1604294777,51,66.04,-17.34,39.2,13.87
Benešov nad Ploučnicí,100,CZ,1604294777,97,50.74,14.31,54.0,3.0
Grindavik,75,IS,1604294777,93,63.84,-22.43,35.6,9.17
Champaign,1,US,1604294500,73,40.13,-88.2,30.99,6.93
Fond du Lac,1,US,1604294701,50,43.77,-88.44,28.4,5.82
Jūybār,0,IR,1604294777,82,36.64,52.91,62.6,4.7
Sakakah,40,SA,1604294778,24,29.97,40.21,68.0,4.7
Ca Mau,100,VN,1604294625,76,9.18,105.15,84.76,6.6
Alamogordo,1,US,1604294778,53,32.9,-105.96,54.0,3.36
Eshowe,98,ZA,1604294778,95,-28.89,31.47,59.52,1.83
Cherskiy,93,RU,1604294778,91,68.75,161.3,0.18,5.35
Kumul,20,CN,1604294779,34,42.8,93.45,55.36,4.56
Baijiantan,12,CN,1604294779,50,45.63,85.18,47.25,1.57
Vigía del Fuerte,96,CO,1604294779,96,6.58,-76.89,72.48,2.68
Boysun,20,UZ,1604294779,22,38.21,67.2,60.03,2.04
Aksarka,66,RU,1604294779,95,66.56,67.8,22.5,9.37
Sargatskoye,80,RU,1604294779,89,55.61,73.5,33.51,8.5
Leningradskiy,87,RU,1604294780,84,69.38,178.42,17.98,4.99
Souillac,75,MU,1604294780,57,-20.52,57.52,75.2,10.29
Dunedin,34,NZ,1604294780,70,-45.87,170.5,51.01,11.99
Salinópolis,65,BR,1604294780,85,-0.61,-47.36,78.67,8.68
Brae,40,GB,1604294565,81,60.4,-1.35,50.0,29.97
Acaraú,69,BR,1604294685,78,-2.89,-40.12,80.26,10.51
Salaga,92,GH,1604294781,82,8.55,-0.52,75.65,3.65
Teahupoo,75,PF,1604294587,69,-17.83,-149.27,82.4,3.36
Umluj,15,SA,1604294781,53,25.02,37.27,81.03,2.48
Ughelli,81,NG,1604294781,97,5.49,6.01,74.28,1.05
Alice Springs,0,AU,1604294547,9,-23.7,133.88,96.8,6.93
Nabire,90,ID,1604294706,81,-3.37,135.48,83.26,4.0
Nivelles,75,BE,1604294781,82,50.6,4.33,63.0,23.04
Alta Floresta,100,BR,1604294781,98,-9.88,-56.09,69.93,2.35
Vallenar,0,CL,1604294782,56,-28.57,-70.76,54.27,1.36
Sukumo,99,JP,1604294782,91,32.93,132.73,62.35,5.26
Moose Factory,90,CA,1604294782,79,51.26,-80.61,23.0,13.87
Ulkan,32,RU,1604294782,79,57.24,107.32,21.83,8.93
Biak,100,ID,1604294782,62,-0.91,122.88,85.64,6.55
Bonavista,30,CA,1604294782,80,48.65,-53.11,39.2,6.93
Salou,75,ES,1604294677,82,41.08,1.14,55.99,6.93
Cidreira,8,BR,1604294569,65,-30.18,-50.21,60.66,4.03
Ketchikan,90,US,1604294783,100,55.34,-131.65,51.8,40.26
Kathu,20,TH,1604294442,70,7.92,98.33,87.8,4.7
Chinandega,96,NI,1604294783,94,12.63,-87.13,74.48,2.95
Abu Samrah,100,SY,1604294783,73,35.3,37.18,63.63,4.41
Tres Arroyos,72,AR,1604294783,65,-38.37,-60.28,52.54,9.64
Inuvik,80,CA,1604294524,77,68.35,-133.72,5.0,1.12
Lavumisa,100,SZ,1604294784,86,-27.31,31.89,64.18,0.25
Rio Grande,0,BR,1604294683,98,-32.03,-52.1,48.99,3.6
Batemans Bay,56,AU,1604294784,73,-35.72,150.18,68.0,3.0
La Sarre,100,CA,1604294784,94,48.8,-79.2,19.9,19.35
Ucluelet,94,CA,1604294727,88,48.93,-125.55,46.99,8.63
Treinta y Tres,14,UY,1604294784,86,-33.23,-54.38,45.72,1.72
Acarí,73,PE,1604294784,74,-15.43,-74.62,63.9,3.29
Changde,63,CN,1604294785,44,29.05,111.68,69.85,7.74
Srednekolymsk,38,RU,1604294785,90,67.45,153.68,-6.56,7.76
Hrubieszów,52,PL,1604294785,91,50.8,23.89,37.76,6.4
Port Lincoln,82,AU,1604294785,39,-34.73,135.87,77.32,15.66
Xichang,98,CN,1604294785,66,27.9,102.26,50.16,2.13
Sicuani,100,PE,1604294785,67,-14.27,-71.23,47.43,0.85
Avera,1,US,1604294785,43,33.19,-82.53,55.4,12.75
West Wendover,1,US,1604294786,47,40.74,-114.07,35.6,2.3
Asha,26,RU,1604294786,82,55.0,57.27,36.5,1.9
Bonthe,3,SL,1604294786,84,7.53,-12.51,77.97,5.48
Prince Rupert,90,CA,1604294489,87,54.32,-130.32,46.4,26.4
Bac Lieu,99,VN,1604294787,77,9.29,105.72,83.86,11.5
Makakilo City,1,US,1604294787,83,21.35,-158.09,78.8,0.69
Anadyr,75,RU,1604294558,85,64.75,177.48,12.2,6.71
Kalianget,90,ID,1604294787,62,-7.05,113.93,86.59,9.66
Khudumelapye,50,BW,1604294787,73,-23.88,24.75,65.98,14.32
Yar-Sale,45,RU,1604294787,96,66.83,70.83,23.14,10.31
Los Llanos de Aridane,0,ES,1604294530,32,28.66,-17.92,69.8,8.05
Matane,100,CA,1604294787,1,48.83,-67.52,42.01,7.56
Santa Cruz de la Sierra,75,BO,1604294787,38,-17.8,-63.17,77.0,10.29
Geraldton,75,AU,1604294536,60,-28.77,114.6,69.8,18.34
Snyder,1,US,1604294788,57,32.72,-100.92,51.8,6.93
Granada,0,ES,1604294743,87,37.19,-3.61,55.0,1.12
Methóni,20,GR,1604294788,93,36.82,21.7,61.0,4.7
Taseyevo,100,RU,1604294788,78,57.22,94.9,37.81,6.46
Glinishchevo,90,RU,1604294788,100,53.3,34.07,46.4,6.71
Ambilobe,61,MG,1604294788,46,-13.2,49.05,79.68,6.98
Husainābād,22,IN,1604294789,34,24.53,84.02,81.81,5.57
Suntar,0,RU,1604294789,83,62.14,117.63,10.35,7.94
Bilibino,100,RU,1604294789,93,68.05,166.44,9.39,1.28
Esperance,90,AU,1604294789,100,-33.87,121.9,64.4,5.82
Tilichiki,80,RU,1604294535,95,60.47,166.1,27.39,3.29
Ust'-Omchug,100,RU,1604294789,96,61.15,149.63,24.8,1.7
Hobyo,2,SO,1604294789,72,5.35,48.53,81.45,8.32
Houma,1,US,1604294790,62,29.6,-90.72,57.99,9.17
Kizlyar,100,RU,1604294790,76,43.85,46.72,55.65,9.57
Olafsvik,93,IS,1604294790,93,64.89,-23.71,36.23,21.5
Saint-Pierre,40,RE,1604294443,50,-21.34,55.48,75.2,3.36
Lüderitz,82,NA,1604294790,78,-26.65,15.16,59.67,3.62
Ghanzi,81,BW,1604294791,51,-21.57,21.78,71.87,14.67
Kachug,2,RU,1604294791,76,53.96,105.88,21.47,3.53
Oshikango,37,NA,1604294791,20,-17.4,15.88,77.0,5.82
Baunatal,75,DE,1604294791,93,51.25,9.41,59.0,8.05
Logan,1,US,1604294514,59,41.74,-111.83,46.0,4.03
Petropavlovsk-Kamchatskiy,55,RU,1604294791,60,53.05,158.65,42.8,6.71
San Cristobal,99,VE,1604294791,93,7.77,-72.22,66.25,1.7
Luga,0,RU,1604294792,98,58.74,29.85,31.01,6.04
Gizo Government Station,63,SB,1604294792,69,-8.1,156.84,85.37,2.53
Ahvāz,0,IR,1604294792,45,31.32,48.67,68.0,2.24
Samfya,69,ZM,1604294792,60,-11.36,29.56,72.75,11.25
Stepnyak,97,KZ,1604294792,91,52.83,70.78,33.01,9.6
Virtsu,99,EE,1604294792,73,58.57,23.51,46.0,14.0
Alekseyevsk,11,RU,1604294793,82,57.84,108.35,20.43,8.19
Falam,20,MM,1604294793,84,22.92,93.68,70.47,0.76
Katangli,100,RU,1604294793,85,51.71,143.23,40.89,15.19
Thompson,90,CA,1604294517,92,55.74,-97.86,26.6,4.7
Luena,36,AO,1604294793,74,-11.78,19.92,63.52,3.76
Betioky,0,MG,1604294793,42,-23.72,44.38,82.51,9.17
Winneba,81,GH,1604294794,91,5.35,-0.62,76.84,6.22
Ossora,100,RU,1604294794,91,59.24,163.07,33.15,3.8
Beloha,2,MG,1604294794,59,-25.17,45.05,75.96,15.5
Dafeng,63,CN,1604294794,58,23.45,108.59,74.62,10.98
Camopi,13,GF,1604294794,97,3.17,-52.32,72.5,1.39
Vidisha,11,IN,1604294794,24,23.53,77.82,82.4,3.36
Fairlie,97,GB,1604294795,93,55.76,-4.86,46.99,10.29
Arlit,0,NE,1604294795,29,18.74,7.39,67.98,5.44
Svetlaya,17,RU,1604294795,54,46.54,138.33,47.23,7.09
Bambous Virieux,75,MU,1604294551,57,-20.34,57.76,75.2,10.29
Xining,11,CN,1604294795,56,36.62,101.77,41.49,2.33
Tezu,82,IN,1604294796,71,27.92,96.17,76.14,1.7
Bathsheba,40,BB,1604294796,78,13.22,-59.52,82.4,23.04
Bambari,94,CF,1604294796,90,5.77,20.68,71.98,1.36
Gravdal,75,NO,1604294796,81,68.12,13.5,50.0,9.17
Craig,1,US,1604294796,74,40.52,-107.55,39.2,6.2
Jalu,1,LY,1604294796,73,29.03,21.55,60.73,6.69
Kaura Namoda,75,NG,1604294796,27,12.59,6.58,71.91,9.69
Vestmannaeyjar,87,IS,1604294796,75,63.44,-20.27,38.98,16.55
Aksha,47,RU,1604294797,76,50.28,113.29,23.29,13.11
Peniche,36,PT,1604294797,92,39.36,-9.38,64.0,1.01
Westport,83,US,1604294650,78,41.14,-73.36,43.0,18.14
Chunoyar,100,RU,1604294797,86,57.45,97.32,35.56,9.01
Morant Bay,20,JM,1604294797,88,17.88,-76.41,78.8,10.29
Kruisfontein,11,ZA,1604294546,79,-34.0,24.73,66.0,1.99
Jasper,1,US,1604294797,74,37.2,-94.35,37.0,3.74
Mazara del Vallo,20,IT,1604294798,81,37.66,12.59,64.99,3.36
Toamasina,40,MG,1604294798,65,-18.17,49.38,77.0,6.93
Garoowe,0,SO,1604294798,44,8.41,48.48,77.7,8.25
Sept-Îles,100,CA,1604294798,100,50.2,-66.38,37.99,4.7
Guánica,55,PR,1604294798,84,17.97,-66.91,77.0,1.01
Bolobo,100,CD,1604294798,96,-2.17,16.23,71.4,2.51
Timizart,0,DZ,1604294799,51,36.8,4.27,58.86,4.65
Nushki,0,PK,1604294799,18,29.55,66.02,66.06,2.71
Plettenberg Bay,0,ZA,1604294799,76,-34.05,23.37,65.32,6.6
Millinocket,90,US,1604294799,100,45.66,-68.71,42.8,2.53
Crişan,26,RO,1604294707,93,44.97,29.47,41.0,5.88
Kwang Binh,81,VN,1604294512,70,17.48,106.6,80.49,13.47
Yulara,0,AU,1604294799,9,-25.24,130.99,104.0,9.17
Marrakesh,0,MA,1604294774,54,31.63,-8.01,57.2,1.12
Mpulungu,64,ZM,1604294800,52,-8.76,31.11,79.59,2.93
Caravelas,100,BR,1604294800,89,-17.71,-39.25,71.13,11.48
Prescott,1,US,1604294613,47,34.54,-112.47,64.4,4.7
Lebu,92,CL,1604294554,94,-37.62,-73.65,51.91,8.68
Dolores,28,AR,1604294800,66,-36.31,-57.68,49.64,2.86
Tiksi,8,RU,1604294529,90,71.69,128.87,-5.04,6.55
Guadalupe Victoria,1,MX,1604294801,23,32.29,-115.11,75.2,4.7
Fengrun,0,CN,1604294801,34,39.83,118.12,51.78,16.73
